name,type,FC Southern Storm style,comment
manual_builtup_commercial_industry,polygon,fcss_builtup_commercial_industry.qml,
manual_builtup_highrise,polygon,fcss_builtup_highrise.qml,
manual_builtup_highrise_fcrs,polygon,fcss_builtup_highrise_fcrs.qml,
manual_builtup_town,polygon,fcss_builtup_town.qml,
manual_elevation_corrections,polygon,fcss_elevation_corrections.qml,
manual_road_airstrip,line,fcss_road_airstrip.qml,
manual_road_highway,line,fcss_road_highway.qml,
manual_road_primary,line,fcss_road_primary.qml,
manual_road_rail_road,line,fcss_road_rail_road.qml,
manual_road_secondary,line,fcss_road_secondary.qml,
manual_road_tunneled_rail_road,line,fcss_road_tunneled_rail_road.qml,
manual_terrain_field,polygon,fcss_terrain_field.qml,
manual_terrain_forest,polygon,fcss_terrain_forest.qml,
manual_terrain_swamp,polygon,fcss_terrain_swamp.qml,
manual_terrain_vineyard_orchard,polygon,fcss_terrain_vineyard_orchard.qml,
manual_terrain_vineyard_orchard_fcrs,polygon,fcss_terrain_vineyard_orchard_fcrs.qml,
manual_water_lake_major,polygon,fcss_water_lake_major.qml,
manual_water_lake_minor,polygon,fcss_water_lake_minor.qml,
manual_water_river_bank_major,line,fcss_water_river_bank_major.qml,
manual_water_river_major,polygon,fcss_water_river_major.qml,
manual_water_stream_major,line,fcss_water_stream_major.qml,
manual_water_stream_minor,line,fcss_water_stream_minor.qml,
